country,year,nominal_price_total_growth_pct,rent_total_growth_pct,price_to_income_ratio,price_to_rent_ratio,investment_score
Portugal,2025,145.7653168133749,50.086202628283516,166.744225769579,193.399279002615,60.0
Germany,2025,82.05100690053455,25.24199712815087,107.938816865295,129.99496038804,55.68558620055463
France,2025,26.298782003479992,16.526174808486726,93.4222656927075,115.7687631122,42.954142133027226
Italy,2025,-1.6088060979305596,18.253403830049276,88.4699987414121,103.187536376121,41.28667132729824
