country_code,country,year,nominal_house_price_index,real_house_price_index,rent_price_index,price_to_income_ratio,price_to_rent_ratio,nominal_price_yoy_growth_pct,real_price_yoy_growth_pct,rent_yoy_growth_pct,nominal_price_total_growth_pct,rent_total_growth_pct,average_annual_wage,household_disposable_income,interest_rate,population,housing_pressure,true_affordability,financing_pressure,population_growth,demand_pressure
AUT,Austria,2010,77.3225,85.9760978561309,82.808831131987,82.8703140284752,93.3682945334745,,,,0.0,0.0,36382.634,25697.2306126967,3.22638333333333,8357367.0,0.002125258440606582,332.33833118040286,249.47202529166643,,
AUT,Austria,2011,81.4725,87.8553815069639,85.5564717502062,86.4355374718483,95.2191277537044,5.367131171392536,2.185821056891535,3.3180526529106524,5.367131171392536,3.3180526529106524,37127.955,26186.9479754119,3.31965833333333,8384901.0,0.002194370791496596,321.4206999344797,270.4608635624997,0.32945783043869525,-5.037673340953841
AUT,Austria,2012,86.8625,91.5441497303911,89.3258500983163,88.2776401178743,97.2420136147422,6.615729233790546,4.198682152595068,4.4057197205552345,12.337935271104785,7.869956473533568,38215.019,27163.4831825272,2.371175,8420328.0,0.0022729937671887588,312.7181831345771,205.9661884375,0.4225094607557045,-6.1932197730348415
AUT,Austria,2013,91.195,94.2042793374711,92.1010982227472,93.843900010539,99.0165654560947,4.987768024176131,2.9058433716566467,3.106881290663721,17.941090885576628,11.221347969456865,39035.153,27214.7808642145,2.01075833333333,8472176.0,0.0023362275536616957,298.42404588206045,183.371106208333,0.6157479851141234,-4.372020039062008
AUT,Austria,2014,94.675,95.9712739229985,95.7600140460032,95.7408260198107,98.8675767990999,3.8159986841383997,1.8757052205637503,3.9727168229925836,22.44172136182869,15.639857170998608,39974.325,27687.5071126798,1.48729166666667,8538350.0,0.0023683952136777796,292.4479230280412,140.809338541667,0.7810744252716217,-3.034924258866778
AUT,Austria,2015,100.0,100.0,100.0,100.0,100.0,5.624504885133352,4.197845784806287,4.42772068930557,29.32846196126613,20.76006705204232,40847.443,27843.1469906627,0.747041666666667,8618709.0,0.0024481336567383177,278.431469906627,74.70416666666671,0.9411537357920441,-4.683351149341308
AUT,Austria,2016,106.705,105.264721328673,103.082848193641,103.761194927533,103.51110444832,6.705000000000005,5.264721328672994,3.082848193640997,37.999935335769,24.482916597795867,41836.305,29236.5326842627,0.375383333333334,8737663.0,0.0025505359519680335,273.99402731139776,40.055278583333404,1.380183505441468,-5.3248164945585374
AUT,Austria,2017,112.135,108.565296784429,107.340474151607,106.75644103902,104.469992729461,5.088796213860647,3.1355001125690007,4.130295226193259,45.02247082026576,29.624428559460767,42570.936,29669.2935478344,0.583283333333333,8790624.0,0.0026340741016359142,264.58548667083784,65.4064765833333,0.606123170463313,-4.482673043397334
AUT,Austria,2018,118.83,112.616958614796,111.331500049588,109.720564968599,106.727747655722,5.970482008293576,3.732004563495206,3.7180997471131905,53.681011348572525,34.443994109927004,43587.122,30955.2644647497,0.686158333333334,8833192.0,0.002726263963929529,260.5004162648296,81.53619475000008,0.4842432118584483,-5.486238796435128
AUT,Austria,2019,125.9675,117.317829764361,114.639250793831,114.615839015516,109.873115579372,6.006479845156942,4.174212487520834,2.971082526301805,62.91183032105789,38.43843612658926,44719.413,32303.4885728736,0.0629333333333333,8872344.0,0.0028168415359119316,256.4430394575871,7.927554666666662,0.44323728047572786,-5.5632425646812145
