country_code,country,year,nominal_house_price_index,real_house_price_index,rent_price_index,price_to_income_ratio,price_to_rent_ratio,nominal_price_yoy_growth_pct,real_price_yoy_growth_pct,rent_yoy_growth_pct,nominal_price_total_growth_pct,rent_total_growth_pct
AUT,Austria,2010,77.3225,85.9760978561309,82.808831131987,82.8703140284752,93.3682945334745,,,,0.0,0.0
AUT,Austria,2011,81.4725,87.8553815069639,85.5564717502062,86.4355374718483,95.2191277537044,5.367131171392536,2.185821056891535,3.3180526529106524,5.367131171392536,3.3180526529106524
AUT,Austria,2012,86.8625,91.5441497303911,89.3258500983163,88.2776401178743,97.2420136147422,6.615729233790546,4.198682152595068,4.4057197205552345,12.337935271104783,7.869956473533568
AUT,Austria,2013,91.195,94.2042793374711,92.1010982227472,93.843900010539,99.0165654560947,4.987768024176131,2.9058433716566467,3.106881290663721,17.941090885576628,11.221347969456863
AUT,Austria,2014,94.675,95.9712739229985,95.7600140460032,95.7408260198107,98.8675767990999,3.8159986841383997,1.8757052205637503,3.9727168229925836,22.44172136182869,15.639857170998607
AUT,Austria,2015,100.0,100.0,100.0,100.0,100.0,5.624504885133352,4.197845784806287,4.42772068930557,29.32846196126613,20.76006705204232
AUT,Austria,2016,106.705,105.264721328673,103.082848193641,103.761194927533,103.51110444832,6.705000000000005,5.264721328672994,3.082848193640997,37.999935335768996,24.482916597795867
AUT,Austria,2017,112.135,108.565296784429,107.340474151607,106.75644103902,104.469992729461,5.088796213860647,3.1355001125690007,4.130295226193259,45.02247082026576,29.624428559460767
AUT,Austria,2018,118.83,112.616958614796,111.331500049588,109.720564968599,106.727747655722,5.970482008293576,3.732004563495206,3.7180997471131905,53.681011348572525,34.443994109927004
AUT,Austria,2019,125.9675,117.317829764361,114.639250793831,114.615839015516,109.873115579372,6.006479845156942,4.174212487520834,2.971082526301805,62.91183032105789,38.43843612658926
AUT,Austria,2020,135.515,124.946427303194,119.344851852592,123.458934523398,113.539677750649,7.579335939825738,6.502504823141919,4.104703254929354,75.25946522680975,44.120923120350675
AUT,Austria,2021,151.015,136.599303665872,121.702277383012,132.444165961025,124.145763864591,11.437848208685386,9.326298169695724,1.9753055903339423,95.305376830806,46.96775177158783
AUT,Austria,2022,168.4925,141.529062291178,122.716877611297,135.391687626755,137.324672999958,11.573353640366868,3.6089192938819403,0.8336739871283694,117.90875877008631,48.192983687574966
AUT,Austria,2023,163.68,127.114416480229,132.345679777778,123.52429181113,123.777879426188,-2.856210217071975,-10.18493698579922,7.846355247873915,111.6848265382004,59.82073164012591
AUT,Austria,2024,163.059999997,122.587394810601,141.168731762965,114.681995881087,115.514314042399,-0.37878788062072344,-3.5613754875176706,6.6666717039814305,110.88299007016067,70.47545513347428
FRA,France,2010,100.575,104.82519736138,94.1652954376028,103.740266956699,106.800779196268,,,,0.0,0.0
FRA,France,2011,106.55,109.077594920031,95.2808478539363,108.144476932417,111.825371907673,5.940840169028072,4.056655904964379,1.1846746841809752,5.940840169028072,1.1846746841809752
FRA,France,2012,105.975,107.065348949582,96.7859277410553,106.892211599346,109.499620235951,-0.5396527451900557,-1.8447839557924395,1.5796247840135447,5.369127516778516,2.7830128831157763
FRA,France,2013,103.8,104.199377684997,98.3385526246084,105.526243602379,105.556579014306,-2.0523708421797515,-2.6768429680592676,1.6041845336308036,3.2065622669649407,4.431842078986459
FRA,France,2014,101.925,102.181026158319,99.3571800482114,102.703416573164,102.586537729012,-1.8063583815028927,-1.9370091947954249,1.0358373154946143,1.342281879194629,5.51358606849901
FRA,France,2015,100.0,100.0,100.0,100.0,100.0,-1.8886436104979087,-2.1344727493142646,0.6469788609908989,-0.5717126522495675,6.196236665835642
FRA,France,2016,100.925,100.706237654967,100.326417475519,99.6042202775027,100.595957411775,0.924999999999998,0.7062376549670013,0.326417475519003,0.3479990057171145,6.542879740656438
FRA,France,2017,103.975,102.954682851984,100.515717461321,100.55374762374,103.440430881368,3.0220460738171973,2.232677189987453,0.18868408796537395,3.380561769823509,6.743909201587139
FRA,France,2018,107.125,104.085405330837,100.25146498114,101.33858448912,106.861083794466,3.02957441692715,1.098272023700586,-0.2628966761170304,6.512552821277651,6.463283012338783
FRA,France,2019,110.65,106.646445218622,100.670217449733,101.797456175793,109.910276028575,3.2905484247374606,2.4605177638927334,0.4177020941008358,10.017399950285855,6.907982374929844
FRA,France,2020,116.8,111.573621510561,101.057942420654,106.964183660416,115.574768092138,5.558065973791226,4.620103634807915,0.38514367083253287,16.132239622172495,7.319731702661647
FRA,France,2021,124.575,117.42559006839,101.917492356188,109.448844524361,122.22641521769,6.6566780821917915,5.244939151925876,0.8505515894595694,23.8627889634601,8.232541386462366
