STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,ESP,Spain,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2010,,18693.23349398,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,SWE,Sweden,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2010,,20769.7169821504,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,AUT,Austria,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2011,,26186.9479754119,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,FRA,France,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2011,,23234.6401052795,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,DEU,Germany,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2011,,26424.8594094843,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,ITA,Italy,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2011,,23180.2719286049,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,NLD,Netherlands,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2011,,21901.689341009,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,POL,Poland,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2011,,13544.1788731878,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,PRT,Portugal,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2011,,17327.6995242788,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,ESP,Spain,B6GS1M_POP,Gross disposable income per capita of households and NPISH,USD_PPP_PS,"US dollars per person, PPP converted",NAAG_V,Part V: Households,2011,,18971.5836580861,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1M,Households and non-profit institutions serving households (NPISH),S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,USD,US dollar
